証券コード,企業名,業種,時価総額（億円）,配当利回り(%),PER,過去3年EPS年平均増減率(%),最新年度真FCF利回り(%),1年前真FCF利回り(%),2年前真FCF利回り(%),3年前真FCF利回り(%),3年間平均真FCF利回り(%),最新年度営業CF利回り(%),1年前営業CF利回り(%),2年前営業CF利回り(%),3年前営業CF利回り(%),3年間平均営業CF利回り(%),3年間平均CF設備投資率(%),最新年度営業利益率(%),1年前営業利益率(%),2年前営業利益率(%),3年前営業利益率(%),最新年度売上高増加率(%),1年前売上高増加率(%),2年前売上高増加率(%),ROIC(%),参考ROIC（現預金控除後）(%),1年前ROIC(%),2年前ROIC(%),3年前ROIC(%),自己資本比率(%),粗利率(%),現預金等（円）
1301,"Kyokuyo Co., Ltd.",Consumer Defensive,560.14,3.42,8.2,,-1.33,10.43,-3.07,-11.15,2.01,-1.33,10.43,-3.07,-11.15,2.01,0.0,3.21,3.66,3.37,2.98,10.55,15.7,-3.88,4.13,4.42,5.61,4.35,4.77,46.52,12.36,11047000000.0
130A,Veritas In Silico Inc.,Healthcare,27.89,0.0,,,-11.85,-8.02,2.39,-7.32,-5.83,-10.73,-7.81,2.46,-5.33,-5.36,-3.37,-435.32,-109.35,10.44,-77.69,-53.18,-45.99,101.54,-22.44,,-9.75,2.2,-9.19,,100.0,1825213000.0
1332,Nissui Corporation,Consumer Defensive,3511.89,2.77,12.84,,2.53,2.67,8.04,-5.52,4.41,15.16,11.5,15.51,0.97,14.06,69.42,4.34,3.59,3.57,3.19,5.09,6.59,8.23,4.91,5.09,4.9,4.61,4.36,51.23,16.34,20222000000.0
1333,Umios Corporation,Consumer Defensive,1951.78,3.49,8.8,,-0.89,9.66,18.03,-15.25,8.93,12.71,20.07,27.46,-0.01,20.08,64.42,2.82,2.82,2.57,2.9,2.53,4.65,1.0,4.03,4.46,4.32,3.72,4.79,46.51,13.92,54141000000.0
135A,"VRAIN Solution, Inc.",Technology,498.95,0.0,76.74,,-0.95,-0.48,0.84,-0.18,-0.2,-0.75,-0.32,0.87,-0.08,-0.07,-23.98,27.91,27.75,36.01,10.42,52.89,51.95,128.54,26.33,31.8,29.82,31.76,25.72,83.91,78.89,427000000.0
1375,"Yukiguni Factory Co., Ltd.",Consumer Defensive,469.42,1.7,15.88,,7.02,6.06,0.36,6.47,4.48,11.76,11.34,6.61,11.94,9.9,60.46,8.08,4.55,5.9,5.19,0.58,11.93,12.49,10.07,11.6,5.7,5.74,5.16,46.68,26.37,3968000000.0
1376,"Kaneko Seeds Co., Ltd.",Basic Materials,175.68,2.99,13.34,,-0.69,-6.48,8.85,-11.34,0.56,10.95,1.21,12.73,-9.05,8.3,257.15,2.58,2.34,2.4,2.87,5.0,4.72,-0.93,4.66,5.0,4.6,4.73,5.71,97.1,14.59,1909628000.0
1377,Sakata Seed Corporation,Consumer Defensive,1849.98,2.28,15.43,,1.0,-1.41,-0.18,1.16,-0.2,4.96,2.76,3.77,4.51,3.83,111.89,12.58,13.19,11.84,14.13,12.23,4.78,14.77,5.4,6.46,5.38,4.61,6.02,96.98,63.61,30209000000.0
1379,Hokuto Corporation,Consumer Defensive,666.57,2.94,11.08,,8.85,15.85,9.24,4.65,11.31,16.24,18.34,12.56,7.01,15.71,28.51,8.18,7.98,4.0,-4.04,3.38,4.63,8.83,5.15,6.96,5.43,2.57,-3.03,68.5,29.0,24717000000.0
137A,"Cocolive, Inc.",Technology,20.7,0.0,15.47,,5.57,10.7,7.6,5.81,7.96,5.82,10.7,7.61,5.81,8.04,1.51,13.65,21.48,20.92,17.6,11.19,26.66,28.93,13.85,13.85,23.37,23.94,36.27,,52.85,0.0
